年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2018,其他, -,田尾公路花園,彰化縣,10007,146820,430540,132660,126600,43365,41130,42945,31770,63945,94260,80680,156380,1391095
2018,其他, -,溪州公園,彰化縣,10007,8331,1137182,188945,77666,54477,39220,40938,30302,26918,26115,37756,70778,1738628
2018,其他, -,臺灣玻璃館,彰化縣,10007,57514,105984,65294,95787,65134,71396,79928,60724,62841,64642,51463,60280,840987
2018,其他, -,扇形車庫,彰化縣,10007,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,蘭嶼,臺東縣,10014,1562,2868,3938,18335,4368,17747,23520,10806,10253,4109,2384,1483,101373
2018,其他, -,水往上流遊憩區,臺東縣,10014,32387,49497,37698,61069,39131,32798,40740,42170,26242,31632,33008,52667,479039
2018,其他, -,臺塑六輕阿媽公園,雲林縣,10009,789,548,990,1446,2388,1468,1498,1297,1004,1529,1732,1302,15991
2018,其他, -,古坑綠色隧道,雲林縣,10009,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,駁二藝術特區,高雄市,64000,373537,672668,187123,303626,225870,112186,375198,320113,191281,381002,420060,518000,4080664
2018,其他, -,愛河(五福四路至博愛一路),高雄市,64000,18323,27233,21328,24303,16342,13514,17870,16479,12237,17770,18535,47585,251519
2018,其他, -,紅毛港文化園區,高雄市,64000,9314,16407,9527,16824,9004,8530,11894,8914,10525,9800,8870,13997,133606
2018,其他, -,金針山休閒農業區,臺東縣,10014,21000,20000,14000,10000,9000,11000,19000,13000,9000,5500,6000,16000,153500
2018,其他, -,澎湖生活博物館,澎湖縣,10016,1310,1390,4254,5241,6266,6597,7152,5464,3375,3359,1631,1798,47837
2018,其他, -,白石湖吊橋,臺北市,63000,17641,21699,29817,25413,20626,19731,15999,12420,13011,14624,23712,14592,229285
2018,其他, -,大溪老城區,桃園市,68000,53964,68829,69530,59691,51961,44316,53582,50986,45713,54904,68557,67361,689394
2018,其他, -,高美濕地,臺中市,66000,49096,125025,113314,201453,165630,147129,173888,145861,135988,144194,83994,90144,1575716
2018,其他, -,霧峰林家園區,臺中市,66000,17325,28005,27612,33429,27561,24060,23313,18468,18837,29391,24477,25149,297627
2018,其他, -,臺中國家歌劇院,臺中市,66000,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,國家公園,陽明山國家公園,陽明山遊客中心,臺北市,63000,16358,34154,19223,22918,18408,20368,20841,21888,13500,17686,16880,15873,238097
2019,國家公園,陽明山國家公園,陽明書屋,臺北市,63000,8761,12488,2415,11296,10862,10557,13671,11650,7134,9475,10703,8483,117495
2019,國家公園,陽明山國家公園,陽明公園,臺北市,63000,10340,362770,616450,35100,28300,26400,14400,13300,13500,9800,9400,9300,1149060
2019,國家公園,陽明山國家公園,大屯遊憩區,臺北市,63000,28853,76943,48256,58579,51847,45953,80894,53030,31455,47110,38052,7643,568615
